row_names	Blank13	S0009.0001	S0009.0002	S0009.0003	S0009.0004	S0009.0005	S0009.0006	S0009.0007	S0009.0008	S0009.0009	S0009.0010	S0009.0011	S0009.0012	S0009.0013	S0009.0014	S0009.0015	S0009.0016	S0009.0017	S0009.0018	S0009.0019	S0009.0020	S0009.0021	S0009.0022	S0009.0023	S0009.0024	S0009.0025	S0009.0026	S0009.0027	S0009.0028	S0009.0029	S0009.0030	S0009.0031	S0009.0032	S0009.0033	S0009.0034	S0009.0035	S0009.0036	S0009.0037	S0009.0038	S0009.0039	S0009.0041	S0009.0042	S0009.0043	S0009.0044	S0009.0045	S0009.0046	S0009.0047	S0009.0048	S0009.0049	S0009.0050	S0009.0051	S0009.0052	S0009.0053	S0009.0054	S0009.0055	S0009.0056	S0009.0057	S0009.0058	S0009.0059	S0009.0060	S0009.0061	S0009.0062	S0009.0063	S0009.0064	S0009.0065	S0009.0066	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	Accession
ASV11	0	172	169	428	504	325	0	0	0	0	367	424	2971	254	898	0	517	0	0	316	1172	339	186	812	815	222	239	256	449	372	637	835	286	0	898	898	372	388	0	672	253	0	0	151	204	0	77	364	77	221	594	275	322	0	160	399	206	731	69	1316	746	320	675	0	86	1676	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_salanitronis_DSM_18170	CP002530.3614908.3616425
ASV12	0	78	407	281	166	455	1846	66	637	634	2785	876	133	203	849	241	603	61	153	407	2121	0	1803	554	717	156	124	7	0	129	883	182	76	102	832	799	0	0	0	84	45	73	180	1562	453	1701	104	72	444	63	21	308	95	238	58	339	0	15	139	40	75	0	499	0	19	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus_2	uncultured_bacterium	FJ879093.1.1490
ASV13	0	0	0	0	679	0	0	0	538	71	0	0	0	0	0	0	0	265	595	0	808	0	0	0	0	525	643	0	0	331	648	628	396	321	0	701	1159	466	313	0	680	890	0	511	734	757	316	619	845	457	139	478	0	586	0	682	537	243	167	1117	591	419	134	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	uncultured_Bacteroidaceae_bacterium	AB218334.1.1446
ASV14	0	0	473	176	0	0	1109	0	11	829	1524	747	47	0	0	0	164	608	353	845	592	323	443	1171	1422	0	7	71	0	33	0	855	407	183	0	0	7	0	5	0	1199	0	0	0	2035	0	0	0	0	0	226	332	0	167	0	461	73	9	123	1021	0	286	0	0	71	525	Bacteria	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae	Anaeroplasma	uncultured_bacterium	FJ881312.1.1460
ASV15	0	276	393	410	343	0	38	56	492	348	26	89	0	1969	1137	48	2476	299	66	291	539	0	0	869	71	1084	101	208	69	397	29	169	222	80	152	0	0	0	0	210	99	214	23	0	387	0	315	523	0	85	0	211	0	0	38	2002	0	0	556	0	0	0	0	42	48	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-014	uncultured_rumen_bacterium	AB185622.1.1517
ASV16	0	500	391	661	151	728	608	0	118	204	296	1229	375	202	912	443	141	350	281	282	330	331	531	209	144	134	784	0	529	224	449	109	109	0	98	0	159	0	678	64	95	0	127	226	0	68	324	169	0	184	108	163	262	249	50	182	267	166	117	84	147	64	0	347	38	138	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	NA
ASV17	0	512	449	611	193	706	580	63	0	172	371	1201	386	175	916	404	151	376	309	240	350	339	531	218	161	138	742	0	531	211	500	117	54	0	112	0	112	0	618	58	0	0	91	249	69	81	267	186	109	197	133	190	298	226	0	168	287	209	134	94	132	0	0	361	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	NA
ASV18	0	799	71	466	297	146	104	71	137	0	0	334	37	121	0	0	154	0	1133	267	0	0	295	712	0	143	922	53	751	568	38	124	0	0	284	47	2599	696	53	415	467	0	36	443	0	334	0	99	0	613	208	521	0	0	285	0	0	0	108	63	245	79	0	0	0	170	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	uncultured_bacterium	FJ881116.1.1507
ASV19	0	661	520	335	356	406	141	0	122	0	236	152	68	273	155	1233	0	0	529	538	936	425	86	367	1025	268	248	0	0	257	171	200	0	233	621	0	210	0	1169	171	217	125	0	0	0	377	0	0	0	0	371	136	216	224	226	294	106	94	158	0	0	281	270	139	0	85	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	uncultured_bacterium	NA
ASV20	0	544	411	625	182	599	562	0	0	199	385	1086	379	154	877	375	108	379	290	277	354	385	518	184	152	0	749	0	494	204	467	90	0	0	108	0	127	81	587	74	108	0	0	239	0	0	173	158	0	163	128	168	253	230	0	170	245	162	115	68	114	90	0	369	0	116	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	NA
ASV21	0	0	474	18	641	81	0	0	588	0	0	0	0	783	847	132	187	0	111	99	490	259	443	599	118	52	121	13	992	495	248	90	118	347	415	95	305	203	337	303	74	163	89	0	184	442	234	827	186	139	574	78	17	65	740	13	0	102	63	21	0	49	24	0	14	166	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	uncultured_bacterium	AB606247.1.1485
ASV22	0	368	640	258	315	434	0	22	0	144	583	0	0	313	168	1215	149	160	535	429	623	435	0	720	1860	0	239	44	66	0	0	0	163	212	425	0	175	0	810	0	269	0	0	108	86	0	224	56	125	0	0	0	0	0	0	274	0	0	0	62	0	0	369	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	uncultured_bacterium	FJ769525.1.1438
ASV23	0	448	319	569	140	536	517	68	0	134	297	1031	328	0	732	252	154	311	221	148	293	264	445	187	151	0	606	91	399	178	368	0	0	0	102	103	107	0	496	0	0	0	0	188	0	77	192	114	75	166	98	123	246	176	0	126	254	145	130	71	0	0	0	326	0	100	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	NA
ASV24	0	55	810	141	419	763	1359	50	184	24	141	261	0	129	134	510	20	11	31	0	157	0	0	141	107	29	124	0	0	25	21	295	60	54	151	481	24	117	160	50	148	215	5	554	122	167	47	390	279	17	45	75	259	46	20	83	351	37	50	365	293	28	33	38	0	38	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	uncultured	uncultured_bacterium	uncultured_bacterium	FJ848388.1.1476
ASV25	0	464	0	447	206	103	479	124	362	134	322	956	62	0	186	545	132	251	359	369	0	428	194	288	0	373	0	16	178	190	40	510	84	10	122	0	0	0	259	253	151	126	0	53	0	0	90	51	35	169	0	0	71	135	0	341	0	0	107	0	0	141	435	63	12	48	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium]_coprostanoligenes_group	uncultured_bacterium	JQ248099.1.1511
ASV26	0	0	317	362	68	0	0	0	244	0	467	348	0	48	0	743	29	190	0	397	327	305	179	0	0	0	0	0	0	0	0	183	154	302	342	435	0	0	0	76	0	385	0	0	91	17	0	0	723	43	317	45	0	117	68	170	124	77	55	188	68	861	478	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	uncultured_bacterium	NA
ASV27	0	0	208	0	318	140	177	163	152	192	219	128	0	215	206	0	0	254	49	141	282	0	221	115	169	0	106	0	67	182	176	345	95	0	247	58	240	525	331	729	94	70	0	59	0	64	0	96	0	0	147	84	538	213	0	69	299	110	51	0	0	0	0	0	0	57	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia	uncultured_bacterium	FJ879715.1.1492
ASV28	0	0	0	351	135	0	462	0	0	0	174	199	16	614	190	120	113	176	164	353	283	390	177	272	378	106	43	0	155	0	0	100	76	126	193	0	0	0	0	253	90	104	4	0	0	128	0	68	204	98	253	156	0	52	238	329	34	86	54	117	126	264	91	0	0	33	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium]_xylanophilum_group	uncultured_bacterium	NA
ASV29	0	0	0	29	18	390	0	0	265	270	154	56	0	0	31	0	193	0	441	0	504	0	26	531	98	0	40	0	117	96	25	29	0	35	385	0	767	0	51	277	173	0	24	30	343	0	57	645	363	77	194	88	0	216	101	86	62	87	64	0	154	258	68	27	0	52	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	uncultured_bacterium	AB506386.1.1523
ASV30	0	0	783	231	302	0	0	0	74	0	0	0	0	455	130	55	77	0	0	0	573	0	0	0	2092	0	64	0	127	0	0	56	0	460	544	0	284	318	0	0	0	0	46	84	101	164	335	164	0	0	138	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium]_coprostanoligenes_group	uncultured_bacterium	NA
ASV31	0	99	221	263	198	176	321	14	60	36	282	134	16	147	471	103	0	61	78	235	74	84	174	0	118	60	201	0	346	98	57	46	50	22	18	144	67	78	166	30	48	313	21	131	0	138	105	75	58	162	288	68	54	15	211	0	35	0	10	110	0	134	123	309	13	34	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-003	uncultured_bacterium	FJ881101.1.1490
ASV32	0	0	0	0	299	537	0	124	293	283	277	180	0	199	282	0	0	318	455	0	0	0	0	0	0	314	433	0	0	181	0	50	39	0	0	0	220	130	183	0	0	181	91	74	168	251	0	316	357	93	84	109	47	187	112	0	0	0	27	0	0	0	165	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_salanitronis_DSM_18170	CP002530.3614908.3616425
ASV33	0	107	123	121	132	74	446	0	294	294	135	95	227	165	237	199	325	0	112	0	158	70	82	243	89	89	109	52	138	126	0	65	92	73	90	0	160	0	0	166	81	0	0	107	146	0	68	207	110	115	118	106	122	76	109	99	0	82	0	107	0	63	0	0	28	269	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium_9	uncultured_bacterium	FJ879979.1.1490
ASV34	0	392	28	734	65	135	650	0	498	13	81	156	0	14	73	125	0	149	34	112	21	0	27	0	249	0	22	0	58	0	0	0	0	44	76	371	223	0	87	0	0	73	0	27	0	0	320	458	79	335	0	140	0	85	109	0	65	19	13	151	89	77	0	121	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	uncultured_bacterium	FJ880512.1.1482
ASV35	0	0	0	0	172	353	0	0	320	0	0	0	208	0	0	112	0	816	716	457	895	0	0	0	0	0	0	0	215	0	303	0	0	0	0	0	0	198	357	381	0	0	0	0	0	0	0	0	0	291	0	312	0	0	0	118	224	146	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	NA	NA
ASV36	0	68	151	53	26	0	0	0	20	15	310	8	74	68	3	187	63	123	0	411	686	313	0	146	360	31	81	196	0	54	0	12	27	46	15	0	0	0	342	210	429	0	0	0	0	80	0	0	0	0	381	35	216	41	12	652	0	37	19	0	0	31	0	0	0	10	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	unidentified	HK695070.1.1496
ASV37	0	0	0	0	203	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	779	0	0	0	0	0	0	0	0	0	1115	0	1413	0	792	0	0	0	0	0	0	0	0	0	375	300	0	370	0	393	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_salanitronis_DSM_18170	CP002530.3614908.3616425
ASV38	0	94	0	170	0	0	164	0	169	165	163	351	0	69	224	433	0	96	291	104	126	48	0	102	319	0	0	0	425	0	160	222	0	0	145	227	0	0	0	0	0	115	0	131	0	0	0	0	0	103	0	176	0	104	61	43	69	0	0	231	0	52	134	153	0	29	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	uncultured	uncultured_bacterium	FJ879958.1.1537
ASV39	0	60	284	219	151	994	0	0	49	43	94	42	110	78	121	353	119	85	74	148	141	390	123	86	259	0	0	0	70	51	30	143	25	45	0	0	53	30	61	134	130	0	0	0	78	0	0	55	0	0	58	41	0	48	36	130	74	30	0	95	25	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_onderdonkii	AY974071.1.1440
ASV40	0	158	114	219	115	360	33	0	0	9	13	0	156	592	457	79	145	0	68	34	0	20	70	18	0	12	27	64	82	68	128	39	9	0	167	104	50	15	0	0	15	61	25	108	42	95	174	128	286	44	44	12	0	14	36	0	32	0	0	108	88	360	31	103	20	143	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-013	uncultured_bacterium	FJ951867.1.1498
ASV41	0	0	62	201	105	36	296	0	163	72	0	50	428	158	104	0	1332	41	98	141	53	0	0	93	127	30	0	191	0	78	90	0	0	0	75	37	36	54	45	68	43	51	0	56	52	41	70	76	0	0	0	34	0	0	0	139	0	37	0	0	0	231	104	19	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured	uncultured_bacterium	AB627676.1.1520
ASV42	0	123	0	176	75	0	174	0	112	74	0	86	0	94	0	63	126	0	123	0	169	0	69	0	40	35	147	0	0	313	50	193	88	91	0	73	48	0	0	155	47	70	0	0	81	57	34	135	0	85	245	128	0	25	280	0	0	0	23	0	81	392	139	409	0	48	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured	uncultured_bacterium	NA
ASV43	0	0	243	0	111	332	0	11	223	428	339	14	9	39	93	354	0	150	0	39	0	44	0	151	0	0	0	0	24	0	0	21	0	134	0	0	0	0	0	0	0	0	0	80	157	0	0	604	15	0	0	165	0	0	82	0	0	93	0	136	24	169	84	442	0	47	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	uncultured_bacterium	FJ881290.1.1482
ASV44	0	79	146	142	102	99	202	0	99	51	91	81	19	132	89	156	44	113	155	139	144	124	64	271	322	96	53	7	32	69	43	84	19	52	67	56	30	72	50	113	47	50	0	0	59	55	74	39	60	26	27	38	29	34	0	120	81	14	19	73	0	35	62	111	12	17	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-005	uncultured_bacterium	JQ208204.1.1335
ASV45	0	0	197	189	221	39	0	29	61	38	81	0	140	176	142	34	0	27	79	173	98	74	92	290	119	0	49	59	21	0	43	0	0	35	155	58	136	61	22	39	41	0	0	73	92	44	275	32	0	0	60	29	26	147	0	291	64	57	122	0	0	195	43	39	0	96	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-013	uncultured_bacterium	NA
ASV46	0	0	0	275	29	0	0	0	0	0	183	351	0	110	158	0	30	0	0	183	280	44	85	54	251	0	0	0	87	53	0	41	19	68	139	0	203	116	81	70	66	0	0	90	140	86	76	256	123	145	165	112	0	52	203	37	75	29	18	27	0	71	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA	NA
ASV47	0	0	158	0	22	81	84	14	10	28	118	77	194	23	67	42	682	17	0	96	54	0	58	29	19	10	0	807	53	26	41	28	0	19	26	24	33	67	13	67	0	15	17	0	23	15	0	19	0	0	0	0	38	39	0	18	52	16	28	29	26	90	17	46	20	1013	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured	uncultured_bacterium	AB506215.1.1522
ASV48	0	126	64	38	62	0	0	0	0	0	103	0	0	247	0	68	31	38	0	416	333	255	0	363	764	0	0	0	0	89	0	0	16	53	165	0	0	0	79	182	214	14	0	0	25	35	19	0	0	0	390	67	47	92	18	133	0	27	23	9	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1	uncultured_bacterium	FJ879586.1.1474
ASV49	0	0	38	26	0	278	22	4	58	528	0	58	0	0	105	254	0	11	46	93	13	18	0	0	357	43	41	0	0	15	182	97	37	34	19	384	35	50	0	285	0	0	0	46	0	0	0	0	193	0	0	0	41	69	0	0	0	0	32	427	110	149	47	0	5	49	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium]_ventriosum_group	uncultured_bacterium	FM874025.1.1500
ASV50	0	91	123	121	19	56	123	0	31	0	27	80	19	171	213	92	24	10	0	49	98	16	130	14	151	53	28	0	159	189	164	0	27	13	0	0	56	47	0	67	145	126	27	47	32	38	146	123	48	134	195	189	146	73	107	166	15	0	0	16	24	8	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured	uncultured_bacterium	FJ880816.1.1488
ASV51	0	0	0	0	0	0	0	26	18	0	31	128	0	57	32	36	0	0	0	232	121	157	59	79	217	0	0	0	0	140	101	0	45	55	98	129	450	149	125	39	59	0	16	28	0	84	86	0	137	0	412	52	33	120	242	0	47	0	0	41	8	0	297	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	uncultured_bacterium	AB606327.1.1485
ASV52	0	0	0	0	723	0	386	35	244	0	0	0	0	635	0	0	60	0	0	0	0	0	0	0	174	308	198	0	292	168	0	327	0	0	0	0	0	0	0	21	255	0	36	0	32	32	0	0	0	0	158	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	uncultured_bacterium	FJ879232.1.1494
ASV53	0	0	0	95	0	0	78	73	0	0	0	0	0	334	99	0	144	135	0	199	93	311	0	0	175	107	0	0	0	0	0	0	0	0	108	0	210	77	0	221	0	0	0	122	0	0	0	0	0	0	0	0	102	0	0	564	0	0	224	0	0	159	0	107	0	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_murinus	EF187260.1.1518
ASV54	0	0	81	0	70	400	49	13	71	593	98	0	0	87	0	0	27	131	0	57	0	97	57	122	34	139	20	0	0	120	32	40	39	29	0	43	0	0	68	147	34	58	0	0	0	70	0	0	104	0	112	20	0	0	48	28	52	25	14	45	135	113	117	0	0	22	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	uncultured_bacterium	NA
ASV55	0	0	118	0	225	40	0	0	504	0	0	21	0	191	223	0	32	0	0	29	105	57	105	150	0	0	76	0	272	204	58	0	34	98	88	0	57	46	84	68	0	0	0	0	40	107	0	221	43	0	48	0	0	24	247	0	0	0	0	0	0	0	0	0	0	45	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	uncultured_bacterium	AB606247.1.1485
ASV56	0	189	0	199	0	204	59	0	154	90	0	268	0	0	20	190	0	174	136	0	90	37	0	0	48	0	0	0	0	0	0	110	0	102	101	86	23	161	41	0	0	0	0	40	0	0	0	399	64	52	0	0	0	21	168	0	73	0	0	0	0	76	0	108	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	uncultured_bacterium	FJ880080.1.1480
ASV57	33	20	30	87	19	98	77	23	29	42	30	113	0	21	174	49	26	76	106	28	31	118	39	90	26	60	247	43	17	8	32	12	62	15	83	25	0	78	0	0	9	62	7	111	45	25	67	53	60	19	11	168	26	108	29	133	107	60	77	38	36	0	0	10	24	54	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	Escherichia_coli	JQ781646.1.1219
ASV58	0	0	303	319	0	0	0	0	61	139	364	0	48	54	0	425	0	0	0	207	29	51	0	0	90	0	0	0	0	0	0	35	94	67	0	129	0	0	0	0	0	76	0	0	0	0	72	0	0	0	67	38	0	0	0	56	0	0	23	102	23	297	214	0	0	16	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	uncultured_bacterium	AB626923.1.1507
ASV59	0	0	0	0	32	269	0	0	94	0	0	0	47	0	87	156	305	0	49	0	0	0	22	10	0	0	0	15	113	0	0	0	21	0	0	0	0	0	59	0	50	63	0	94	0	180	0	0	265	0	0	39	33	0	20	0	53	0	28	438	158	17	216	125	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	NA
ASV60	0	66	39	102	50	100	59	0	76	59	0	0	0	30	74	97	0	97	111	93	76	0	72	0	86	0	0	0	67	138	70	83	60	0	50	33	88	66	50	0	0	64	18	31	0	0	36	29	0	45	221	52	35	46	68	26	36	27	0	26	0	59	75	85	0	59	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium_9	uncultured_bacterium	FJ879645.1.1491
ASV61	0	0	81	26	33	44	89	0	163	101	146	0	0	188	113	98	0	62	136	0	49	268	0	152	0	0	0	0	34	15	0	0	0	49	126	38	134	0	0	0	0	0	0	0	91	0	0	0	36	35	64	117	0	29	123	87	0	95	12	53	0	60	77	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	uncultured_bacterium	NA
ASV62	0	157	106	110	206	17	0	0	248	12	0	71	0	157	121	0	0	0	126	0	0	0	0	32	0	105	145	0	0	82	115	64	0	0	0	0	0	40	138	0	0	65	0	153	0	70	97	129	0	46	0	49	76	0	87	0	83	0	0	0	0	0	93	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	NA	NA
